Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,Individuals using the Internet (% of population),IT.NET.USER.ZS,39.07013088,45.29864751,51.61,58,65.07,65,65,65.017,,,,94.44447158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.542254181,0.637492123,0.780025279,0.92,0.94,1,2,3.1,4.5,6.4,8.2,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",GMB,Individuals using the Internet (% of population),IT.NET.USER.ZS,3.799001139,5.237691158,6.205037419,6.88,7.63,9.2,10.8703,12.44922872,14,15.56,16.5,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.901365316,2.057196705,2.206302237,2.354888711,2.303280592,2.45,2.672,2.893990621,3.1,3.32,3.540706917,3.761413832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.149789671,1.279193596,1.557123059,1.82,2.13,6,11.5,13.94318219,16.4,18.86,21.31999999,23.77999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,Individuals using the Internet (% of population),IT.NET.USER.ZS,24,32.25,35.88,38.2,42.4,44.4,51.64999517,55.06999344,59.8663,63.21,66.835,69.08791547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,Individuals using the Internet (% of population),IT.NET.USER.ZS,20.48780488,21.39599117,22.29,23.18,24.05,27,30,32,35,51.6,53.81,55.85640782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,Individuals using the Internet (% of population),IT.NET.USER.ZS,57.7034045,59.36168727,61.07,62.82,62.83,63,64,64.8960101,65.8,66.7,67.60044348,68.50087368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Individuals using the Internet (% of population),IT.NET.USER.ZS,5.7,6.5,7.3,8.3,9.3,10.5,12.3,16,19.7,23.4,28.80594156,34.50932609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,GUM,Individuals using the Internet (% of population),IT.NET.USER.ZS,38.55987756,43.851443,46.15047362,48.41870215,50.64202838,54.04,57.7,61.53415931,65.4,69.27,73.13999995,77.00999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,13.8,18.2,23.9,29.9,30,30.5,31,32,34,35.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income,HIC,Individuals using the Internet (% of population),IT.NET.USER.ZS,58.7787291,61.47838027,66.88276592,68.97364887,70.197069,72.28553688,72.83925793,75.54147891,76.89318452,78.55182061,80.09987341,82.1818476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,Individuals using the Internet (% of population),IT.NET.USER.ZS,56.9,60.8,64.8,66.7,69.4,72,72.2,72.9,74.2,79.86627043,84.94835296,87.47784626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.5,7.8,9.4,9.6,9.8,11.09,15.9,18.12,17.8,19.08,27.61981381,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavily indebted poor countries (HIPC),HPC,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.21089983,1.554535962,2.327953341,2.512402792,3.126912305,4.723077405,5.33755307,6.600651378,8.060143809,10.3839468,13.35279877,15.56884144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,Individuals using the Internet (% of population),IT.NET.USER.ZS,33.14,37.98,41.44,44.24,50.58,56.55,57.78997899,61.93997315,66.7476,68.57,69.8031,72.69730605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,HTI,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.376201635,6.796000481,7.2,7.6,8.1,8.37,9,9.8,10.6,11.4,12.1977,12.23260161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,Individuals using the Internet (% of population),IT.NET.USER.ZS,38.97,47.06,53.3,61,62,65,68.01998789,70.57999815,72.6439,75.65319745,72.8347,79.25940132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBRD only,IBD,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.687128777,10.52352239,13.7357683,16.9458663,20.28596592,24.81506376,28.3078637,32.08905965,35.15221114,38.78204932,42.71571788,45.87600273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,IBT,Individuals using the Internet (% of population),IT.NET.USER.ZS,7.248155871,8.866094621,11.45008108,14.08224247,16.8119493,20.54576739,23.38194462,26.56256363,29.24278724,32.63843193,36.28905725,39.17619023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA total,IDA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2.203666375,2.919438197,3.689115747,4.232176028,5.013510519,6.465312209,7.481192704,8.970230107,10.78378526,13.70300086,16.73796389,19.06252928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA blend,IDB,Individuals using the Internet (% of population),IT.NET.USER.ZS,4.511307659,5.593256436,6.367686217,7.122248231,8.114761023,9.572492823,11.24404202,13.20521373,15.44744298,17.80488928,21.11883047,23.06319461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,Individuals using the Internet (% of population),IT.NET.USER.ZS,3.602024763,4.764813134,5.786274729,7.917479385,6.92,10.92,12.28,14.52,14.94,17.14,21.97606771,25.36630059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA only,IDX,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.046948729,1.510271787,2.353326266,2.734201441,3.405774784,4.893792059,5.601684375,6.852600462,8.475681605,11.67108822,14.56646726,17.07879382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,IMN,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
